time,call,model,prompt,output,thinking,cached,usd
2026-09-18T01:24:33,extract,gemini-3.8-flash,819,1260,0,0,0.005339
2026-09-18T01:24:37,coverage,gemini-3.8-flash,1698,908,0,0,0.004679
2026-09-18T01:24:39,group:risk,gemini-3.8-flash,1909,156,0,0,0.002017
2026-09-18T01:24:39,group:understanding,gemini-3.8-flash,2308,380,0,0,0.003156
2026-09-18T01:24:40,group:commercials,gemini-3.8-flash,2318,675,0,0,0.004270
2026-09-18T01:24:51,coverage,gemini-3.8-flash,1726,864,3152,0,0.016355
2026-09-18T01:24:53,group:risk,gemini-3.8-flash,1908,162,0,0,0.002038
2026-09-18T01:24:54,group:understanding,gemini-3.8-flash,2307,435,0,0,0.003361
2026-09-18T01:24:55,group:commercials,gemini-3.8-flash,2249,659,0,0,0.004158
2026-09-18T01:25:00,coverage,gemini-3.8-flash,2062,336,1146,0,0.007104
2026-09-18T01:25:01,group:risk,gemini-3.8-flash,2170,239,0,0,0.002524
2026-09-18T01:25:02,group:commercials,gemini-3.8-flash,2511,447,0,0,0.003560
2026-09-18T01:25:02,group:understanding,gemini-3.8-flash,2569,428,0,0,0.003532
2026-09-18T01:25:14,coverage,gemini-3.8-flash,1763,898,2802,0,0.015197
2026-09-18T01:25:18,group:risk,gemini-3.8-flash,1949,374,0,0,0.002864
2026-09-18T01:25:18,group:commercials,gemini-3.8-flash,2197,840,0,0,0.004798
2026-09-18T01:25:19,group:understanding,gemini-3.8-flash,2348,391,0,0,0.003227
2026-09-18T01:25:22,group:risk,gemini-3.8-flash,1006,145,0,0,0.001298
2026-09-18T01:25:23,group:understanding,gemini-3.8-flash,1043,354,0,0,0.002110
2026-09-18T01:25:24,group:commercials,gemini-3.8-flash,1347,659,0,0,0.003481
2026-09-17T23:55:08,extract,gemini-3.8-flash,815,1265,0,0,0.005355
2026-09-17T23:55:18,coverage,gemini-3.8-flash,1723,921,2490,0,0.014084
2026-09-17T23:55:19,group:risk,gemini-3.8-flash,1935,205,0,0,0.002220
2026-09-17T23:55:20,group:understanding,gemini-3.8-flash,2330,424,0,0,0.003338
2026-09-17T23:55:22,group:commercials,gemini-3.8-flash,2302,738,0,0,0.004494
2026-09-18T04:17:42,extract,gemini-3.8-flash,819,1275,0,0,0.005396
2026-09-18T04:17:51,coverage,gemini-3.8-flash,1730,886,2285,0,0.013189
2026-09-18T04:17:53,group:risk,gemini-3.8-flash,1927,155,0,0,0.002027
2026-09-18T04:17:54,group:understanding,gemini-3.8-flash,2326,424,0,0,0.003334
2026-09-18T04:17:54,group:commercials,gemini-3.8-flash,2268,657,0,0,0.004165
2026-09-18T04:21:00,extract,gemini-3.8-flash,819,808,4971,0,0.022285
2026-09-18T04:21:15,coverage,gemini-3.8-flash,1751,576,4620,0,0.020798
2026-09-18T04:21:17,group:risk,gemini-3.8-flash,1941,321,0,0,0.002659
2026-09-18T04:21:19,group:commercials,gemini-3.8-flash,2189,903,0,0,0.005028
2026-09-18T04:21:24,group:understanding,gemini-3.8-flash,2340,375,0,0,0.003161
2026-09-18T04:34:43,extract,gemini-3.8-flash,819,1264,0,0,0.005354
2026-09-18T04:34:49,coverage,gemini-3.8-flash,2061,607,1688,0,0.010152
2026-09-18T04:34:51,group:risk,gemini-3.8-flash,2169,165,0,0,0.002246
2026-09-18T04:34:52,group:understanding,gemini-3.8-flash,2568,385,0,0,0.003370
2026-09-18T04:34:52,group:commercials,gemini-3.8-flash,2510,494,0,0,0.003735
